,Yell,Singing,Music,Musical instrument,Plucked string instrument,Guitar,Electric guitar,Bass guitar,Acoustic guitar,Strum,Drum kit,Pop music,Rock music,Heavy metal,Punk rock,Grunge,Progressive rock,Rock and roll,Psychedelic rock,Exciting music,Angry music,Roll
Yell,1.0,0.8343189058378737,0.2995205848335387,-0.38466750530021704,-0.3792347960264954,-0.3885732648618022,-0.3793438491627371,-0.42007512223604665,-0.3761921999765267,-0.3418158875905007,-0.006691613825977047,0.42557353336584075,0.32091733292854774,-0.33860268242166885,0.5868685140251462,0.15516997163491905,-0.38590296779139005,0.4911913021396835,-0.12999755785049538,0.0010510838018957986,-0.05684846169627717,0.6624433469460802
Singing,0.8343189058378737,1.0,0.38537559590844983,-0.40150086169171173,-0.41017237284483066,-0.4149418603242792,-0.41881596091458845,-0.44633184888580196,-0.4079723872364117,-0.3708063414683535,0.08602047525792172,0.5141783050713569,0.4210938192669379,-0.36824232086905284,0.6743890848215296,0.25400619182771345,-0.37247258249703485,0.6704058714038198,-0.09593653333366525,0.06460344363227515,-0.1320859116627959,0.8003246731107492
Music,0.2995205848335387,0.38537559590844983,1.0,0.07991944110842912,0.06288438932787349,0.07237277452656822,0.05373396518007177,0.10671076825642445,0.07418404628505673,0.13835927922593846,0.0864381783570338,0.3012544411984196,0.5060741699469415,0.3063387465314812,0.49467709197274373,0.09783993045026795,-0.07893680528730505,0.5304656197995985,-0.20958422485137,0.25331582331550595,0.11962784091661241,0.4123272208643205
Musical instrument,-0.38466750530021704,-0.40150086169171173,0.07991944110842912,1.0,0.9899518141564846,0.9929802657385011,0.9674377448820409,0.8990955457695999,0.9275556391795602,0.8932766670509478,-0.15138842299143662,-0.5553562640601131,-0.25061645045175124,0.38110263228374996,-0.49513404689751156,-0.44725210803752885,-0.05936951820122245,-0.4050794643656087,-0.06547804877913324,-0.3923446834871363,-0.29641785261937176,-0.39265359981821396
Plucked string instrument,-0.3792347960264954,-0.41017237284483066,0.06288438932787349,0.9899518141564846,1.0,0.9937454535779859,0.9795771782014886,0.9090273808118832,0.9496753466364021,0.9258364907489173,-0.22127924870139118,-0.558244078140207,-0.29354431244298884,0.3789940192991541,-0.5114261595600552,-0.439851923522727,-0.05508848379090675,-0.42525723056382614,-0.07682410288047366,-0.39070892927609857,-0.2945190204512744,-0.4120855180252312
Guitar,-0.3885732648618022,-0.4149418603242792,0.07237277452656822,0.9929802657385011,0.9937454535779859,1.0,0.9753449863600936,0.9088226473537467,0.9375880458027083,0.9048043641882861,-0.21313604172934256,-0.567160035711425,-0.28588383639003867,0.37619901200548056,-0.5170138521358981,-0.4556696355803532,-0.06443819327350535,-0.42355089074433416,-0.07185568497846061,-0.3996383483054336,-0.29889633369662566,-0.4120751972267821
Electric guitar,-0.3793438491627371,-0.41881596091458845,0.05373396518007177,0.9674377448820409,0.9795771782014886,0.9753449863600936,1.0,0.9327062225017801,0.9635084824187057,0.9254551907400013,-0.21365373282395847,-0.5500619984658447,-0.271820123842225,0.39879630647246206,-0.519118700614083,-0.44449350734056087,-0.016276127999990467,-0.4199973886841784,-0.07305883926745488,-0.3770248919606894,-0.2942460446022447,-0.4137129505470419
Bass guitar,-0.42007512223604665,-0.44633184888580196,0.10671076825642445,0.8990955457695999,0.9090273808118832,0.9088226473537467,0.9327062225017801,1.0,0.9272163094825372,0.9331831621759472,-0.1032490639815566,-0.4797821164538281,-0.16026781518050073,0.6028905043033045,-0.4821517439064637,-0.4318760309698244,0.07057418355175389,-0.32447994420020904,-0.12750854311390702,-0.24880264246454328,-0.2518409871757927,-0.3997512459520785
Acoustic guitar,-0.3761921999765267,-0.4079723872364117,0.07418404628505673,0.9275556391795602,0.9496753466364021,0.9375880458027083,0.9635084824187057,0.9272163094825372,1.0,0.9642358114834182,-0.17812287594044063,-0.49952527613792785,-0.2662234031064329,0.41456091932314054,-0.5085061013413135,-0.4195834012065162,0.007213436957535313,-0.3883458946260662,-0.047964078802874316,-0.32725244394864983,-0.2866025513250829,-0.3963612881878614
Strum,-0.3418158875905007,-0.3708063414683535,0.13835927922593846,0.8932766670509478,0.9258364907489173,0.9048043641882861,0.9254551907400013,0.9331831621759472,0.9642358114834182,1.0,-0.1830736600005497,-0.4758510302678242,-0.2398713529467044,0.5298227199200282,-0.4451596013828981,-0.41946889677969734,-0.048143799649060876,-0.33281831343976037,-0.1549740015235718,-0.2894559453015089,-0.2411643631505421,-0.3692095408772479
Drum kit,-0.006691613825977047,0.08602047525792172,0.0864381783570338,-0.15138842299143662,-0.22127924870139118,-0.21313604172934256,-0.21365373282395847,-0.1032490639815566,-0.17812287594044063,-0.1830736600005497,1.0,0.27338106633708215,0.4973181642851505,0.13009537888239409,0.17805416373309788,0.13741871633210578,0.2500833304943873,0.26179526426582933,0.15982017173454907,0.2539737453409975,0.05510189238902813,0.20975566002833773
Pop music,0.42557353336584075,0.5141783050713569,0.3012544411984196,-0.5553562640601131,-0.558244078140207,-0.567160035711425,-0.5500619984658447,-0.4797821164538281,-0.49952527613792785,-0.4758510302678242,0.27338106633708215,1.0,0.39573663544472637,-0.140780800385033,0.5011874839301363,0.5550700763070605,0.19908888172529943,0.6369990516809659,-0.05099408681981769,0.7039495410206269,0.1253788349847888,0.528227207441471
Rock music,0.32091733292854774,0.4210938192669379,0.5060741699469415,-0.25061645045175124,-0.29354431244298884,-0.28588383639003867,-0.271820123842225,-0.16026781518050073,-0.2662234031064329,-0.2398713529467044,0.4973181642851505,0.39573663544472637,1.0,0.1321677888316085,0.6534348817501162,0.39578552526909627,0.2707435569140747,0.7285480156465836,0.17898778910512142,0.29621734113154463,-0.015948844502733785,0.6659007182224685
Heavy metal,-0.33860268242166885,-0.36824232086905284,0.3063387465314812,0.38110263228374996,0.3789940192991541,0.37619901200548056,0.39879630647246206,0.6028905043033045,0.41456091932314054,0.5298227199200282,0.13009537888239409,-0.140780800385033,0.1321677888316085,1.0,-0.14627140508223066,-0.26531269370155125,0.26862348109675366,-0.024524832082152788,-0.42215347537840964,0.24932536466984223,0.24400358404531775,-0.304384207026408
Punk rock,0.5868685140251462,0.6743890848215296,0.49467709197274373,-0.49513404689751156,-0.5114261595600552,-0.5170138521358981,-0.519118700614083,-0.4821517439064637,-0.5085061013413135,-0.4451596013828981,0.17805416373309788,0.5011874839301363,0.6534348817501162,-0.14627140508223066,1.0,0.5587373516734108,-0.10910908618670147,0.8563644645405658,-0.17703863155593882,0.4218703747434601,0.05010932626566152,0.7902991383887433
Grunge,0.15516997163491905,0.25400619182771345,0.09783993045026795,-0.44725210803752885,-0.439851923522727,-0.4556696355803532,-0.44449350734056087,-0.4318760309698244,-0.4195834012065162,-0.41946889677969734,0.13741871633210578,0.5550700763070605,0.39578552526909627,-0.26531269370155125,0.5587373516734108,1.0,0.4019865267859662,0.48891769755740594,0.18738185369472232,0.5741565239946286,-0.04844027025923473,0.3759192121727897
Progressive rock,-0.38590296779139005,-0.37247258249703485,-0.07893680528730505,-0.05936951820122245,-0.05508848379090675,-0.06443819327350535,-0.016276127999990467,0.07057418355175389,0.007213436957535313,-0.048143799649060876,0.2500833304943873,0.19908888172529943,0.2707435569140747,0.26862348109675366,-0.10910908618670147,0.4019865267859662,1.0,0.06997415337538164,0.3194413456342859,0.538101332668715,-0.042660078194772834,-0.16382854621567086
Rock and roll,0.4911913021396835,0.6704058714038198,0.5304656197995985,-0.4050794643656087,-0.42525723056382614,-0.42355089074433416,-0.4199973886841784,-0.32447994420020904,-0.3883458946260662,-0.33281831343976037,0.26179526426582933,0.6369990516809659,0.7285480156465836,-0.024524832082152788,0.8563644645405658,0.48891769755740594,0.06997415337538164,1.0,-0.0890542887296367,0.5491616224117859,-0.04997609406931625,0.8787012218828426
Psychedelic rock,-0.12999755785049538,-0.09593653333366525,-0.20958422485137,-0.06547804877913324,-0.07682410288047366,-0.07185568497846061,-0.07305883926745488,-0.12750854311390702,-0.047964078802874316,-0.1549740015235718,0.15982017173454907,-0.05099408681981769,0.17898778910512142,-0.42215347537840964,-0.17703863155593882,0.18738185369472232,0.3194413456342859,-0.0890542887296367,1.0,-0.16854049161092646,-0.26227764798488107,0.058967899853209396
Exciting music,0.0010510838018957986,0.06460344363227515,0.25331582331550595,-0.3923446834871363,-0.39070892927609857,-0.3996383483054336,-0.3770248919606894,-0.24880264246454328,-0.32725244394864983,-0.2894559453015089,0.2539737453409975,0.7039495410206269,0.29621734113154463,0.24932536466984223,0.4218703747434601,0.5741565239946286,0.538101332668715,0.5491616224117859,-0.16854049161092646,1.0,0.2764199981073714,0.21965149130393882
Angry music,-0.05684846169627717,-0.1320859116627959,0.11962784091661241,-0.29641785261937176,-0.2945190204512744,-0.29889633369662566,-0.2942460446022447,-0.2518409871757927,-0.2866025513250829,-0.2411643631505421,0.05510189238902813,0.1253788349847888,-0.015948844502733785,0.24400358404531775,0.05010932626566152,-0.04844027025923473,-0.042660078194772834,-0.04997609406931625,-0.26227764798488107,0.2764199981073714,1.0,-0.14667560881718536
Roll,0.6624433469460802,0.8003246731107492,0.4123272208643205,-0.39265359981821396,-0.4120855180252312,-0.4120751972267821,-0.4137129505470419,-0.3997512459520785,-0.3963612881878614,-0.3692095408772479,0.20975566002833773,0.528227207441471,0.6659007182224685,-0.304384207026408,0.7902991383887433,0.3759192121727897,-0.16382854621567086,0.8787012218828426,0.058967899853209396,0.21965149130393882,-0.14667560881718536,1.0
